,id,color,gender,neighborhood,education,income_raw,income_biased,income_biased2,income_standard,approval,const
0,30,blue,0,N2,e1,435.5085383023723,391.9576844721351,261.6601973005739,-1.4716858701405082,1,1
1,87,blue,0,N1,e1,335.4523912964085,301.9071521667677,323.73806437626246,-1.337646268844135,0,1
2,114,blue,0,N1,e1,511.47348742649905,460.32613868384914,412.7721209967472,-1.1454023981477108,0,1
3,169,blue,0,N3,e1,306.0353184802034,275.43178663218305,580.4029292210647,-0.7834510657673521,1,1
4,204,blue,0,N4,e1,378.6410109663888,340.77690986974994,428.92061709932324,-1.110534286837021,0,1
5,229,blue,0,N4,e1,459.40113984351893,413.461025859167,313.55537733986785,-1.3596329023220532,0,1
6,255,blue,0,N1,e1,482.77441052251135,434.49696947026024,381.9417203118514,-1.2119719310630788,0,1
7,284,blue,0,N1,e1,678.8338353462746,610.9504518116471,222.94254690323442,-1.5552856886726785,1,1
8,289,blue,0,N3,e1,267.75129494064606,240.97616544658146,300.5900897317676,-1.3876277749481325,0,1
9,298,blue,0,N4,e1,316.41596823354473,284.77437141019027,465.50489479685194,-1.031540883434265,0,1
10,326,blue,0,N1,e1,501.6615404670447,451.49538642034025,482.6998385059603,-0.9944132644026328,0,1
11,345,blue,0,N1,e1,568.2703631089312,511.4433267980381,402.5750354081002,-1.1674201212279958,0,1
12,349,blue,0,N1,e1,366.7314354852256,330.05829193670303,366.80856325365676,-1.244647704796777,1,1
13,355,blue,0,N4,e1,446.71546235304254,402.0439161177383,389.38472282543887,-1.1959008716603325,1,1
14,357,blue,0,N3,e1,587.624586370572,528.8621277335149,417.43412861682947,-1.135336110885061,0,1
15,382,blue,0,N1,e1,642.4812186366273,578.2330967729646,315.6254190558849,-1.3551632325451668,1,1
16,413,blue,0,N1,e1,260.7515168458882,234.6763651612994,368.97848179319027,-1.2399623792598982,0,1
17,480,blue,0,N3,e1,351.5673564114241,316.4106207702817,422.5621614850115,-1.1242635738688047,0,1
18,484,blue,0,N3,e1,544.4501693530432,490.0051524177389,461.7043397472014,-1.0397471074486784,0,1
19,533,blue,0,N1,e1,564.5612146268542,508.10509316416875,260.35411418393636,-1.4745059873330106,0,1
20,612,blue,0,N4,e1,470.84799462935695,423.76319516642127,479.97699247051037,-1.0002924805254763,0,1
